npi	city	state	zip	count	average_payment	year
1003000142	TOLEDO	OH	436233536	56	69.051428571	2013
1003001363	EL CENTRO	CA	922434247	46	208.41956522	2013
1003002742	DAVENPORT	IA	528073171	24	133.95666667	2013
1003012014	STOUGHTON	MA	02072	116	68.9370142605	2013
1003013335	STOCKTON	CA	952092839	137	113.04027595849999	2013
1003017351	CARLSBAD	CA	920111159	88	263.365370685	2013
1003018748	LITTLE ROCK	AR	722055412	175	141.53182857	2013
1003022500	WILLOW GROVE	PA	190901041	241	112.322249819	2013
1003028812	FORT MYERS	FL	339194888	80	188.69120967499998	2013
1003029620	CHARLOTTESVILLE	VA	229031221	38	66.858684211	2013
1003035338	EL DORADO	AR	71730	19	65.51	2013
1003054966	NEW YORK	NY	100654870	18	74.16	2013
1003057274	LOS ANGELES	CA	900953075	21	75.381428571	2013
1003077082	INDIANAPOLIS	IN	462021228	11	66.724545455	2013
1003077157	LOS ANGELES	CA	900335313	50	78.60249999999999	2013
1003079187	WOOSTER	OH	44691	125	229.1216	2013
1003107285	OLEAN	NY	147601513	49	66.778571429	2013
1003138736	COSTA MESA	CA	926272278	28	272.54428571	2013
1003171745	CAPE GIRARDEAU	MO	637034927	86	188.30581395	2013
1003800285	MILWAUKEE	WI	532161932	46	67.449565217	2013
1003800798	MIDWEST CITY	OK	731107530	312	223.703152605	2013
1003801002	BEECH GROVE	IN	461071557	33	65.166666667	2013
1003801747	JEFFERSON CITY	MO	651096023	154	75.41227780150001	2013
1003806308	SPRINGFIELD	MA	011182533	133	66.199548872	2013
1003806670	HATO REY	PR	009180000	26	109.92538462	2013
1003807835	WEST DES MOINES	IA	50266	76	237.35552632	2013
1003808916	BROOKLYN	NY	112192844	82	64.565853659	2013
1003812082	VIRGINIA BEACH	VA	234646179	221	131.154651325	2013
1003813171	TULSA	OK	741363402	19	66.03	2013
1003813353	LEXINGTON	KY	405032954	93	72.983915009	2013
1003814435	SPRING HILL	FL	346091834	12	80.703333333	2013
1003816406	SARTELL	MN	563772554	24	68.758333333	2013
1003817743	OKLAHOMA CITY	OK	731346012	192	50.684158086	2013
1003819426	DALLAS	TX	752511527	15	71.26	2013
1003819996	LITTLE ROCK	AR	722055324	11	65.37	2013
1003826983	HAGERSTOWN	MD	217405471	221	116.68060396175	2013
1003828567	ASHEVILLE	NC	288033505	23	68.51	2013
1003831454	BIRMINGHAM	AL	352424630	91	148.17835165	2013
1003832080	CORAL GABLES	FL	331342300	56	180.20803571	2013
1003838061	GLENDALE	CA	912064007	24	75.855	2013
1003838822	GREENFIELD	WI	53220	15	68.160666667	2013
1003842022	MORRISTOWN	NJ	079605155	22	73.456818182	2013
1003844317	DETROIT	MI	482362148	70	74.853571429	2013
1003847500	ROYAL PALM BEACH	FL	334113514	83	236.96240964	2013
1003848649	COVINGTON	GA	300146208	53	83.31509434	2013
1003849977	INDIANA	PA	157012488	167	109.9686705265	2013
1003850934	VENICE	FL	342852817	35	160.96285714	2013
1003856212	CLEARWATER	FL	337651508	20	44.572	2013
1003856915	EVANSVILLE	IN	47750	32	65.8209375	2013
1003857996	DETROIT	MI	482012018	34	127.0941754385	2013
1003858697	WALNUT CREEK	CA	945983122	20	78.7	2013
1003859257	INDIANAPOLIS	IN	462025306	22	62.990454545	2013
1003859885	SOMERSET	KY	425032792	381	159.969690065	2013
1003860636	WATERLOO	IA	507025739	338	72.42046169700001	2013
1003860917	PINEHURST	NC	28374	1126	219.67759234	2013
1003862996	MINNEAPOLIS	MN	554032420	43	178.281666665	2013
1003866377	GRAPEVINE	TX	760512111	1043	74.78582639	2013
1003867359	PLACERVILLE	CA	956676278	1005	78.495361014	2013
1003869462	HARTFORD	CT	061051208	137	71.456788321	2013
1003870593	ROCK HILL	SC	297321193	370	72.985918517	2013
1003870767	WARNER ROBINS	GA	310933431	107	72.752746401	2013
1003870825	ST PETERSBURG	FL	337033802	56	231.81589286	2013
1003871690	INDIANAPOLIS	IN	462378600	71	66.4128790325	2013
1003873654	N CHARLESTON	SC	294067140	15	146.50666667	2013
1003874470	NEWBURYPORT	MA	019502192	24	71.521666667	2013
1003875451	CHANDLER	AZ	852864400	22	195.54136364	2013
1003877218	PINEHURST	NC	283748724	663	164.046812235	2013
1003877580	NEWARK	DE	19713	57	81.942631579	2013
1003879594	SALISBURY	MD	21801	38	193.84105263	2013
1003881319	LEWISTON	ME	04240	154	162.90953517	2013
1003883950	KNOXVILLE	TN	379341956	28	66.605714286	2013
1003884073	KNOXVILLE	TN	379161809	389	72.6466529435	2013
1003884461	WINTER PARK	FL	32789	244	174.323234705	2013
1003886136	ALBANY	GA	317073183	32	61.5853125	2013
1003887043	FINDLAY	OH	458408738	38	184.118035715	2013
1003889833	GREENWOOD VILLAGE	CO	801111618	62	74.1242386365	2013
1003891300	SNELLVILLE	GA	300786460	46	161.85434783	2013
1003891896	WILLIAMSVILLE	NY	142215263	94	148.50531915	2013
1003892035	EVANSVILLE	IN	477148016	94	107.499859155	2013
1003892670	WHEAT RIDGE	CO	800336109	39	67.066153846	2013
1003893397	DALLAS	TX	752402004	54	63.791111111	2013
1003893793	DALLAS	TX	752314482	392	143.20959281433335	2013
1003893819	DALLAS	TX	752402004	322	74.0511348215	2013
1003896176	HIAWATHA	IA	522332362	333	69.736784446	2013
1003897653	DUBLIN	GA	310212842	99	73.749816216	2013
1003898628	SAN ANTONIO	TX	782121864	25	150.4268	2013
1003902701	VALRICO	FL	335968265	17	81.609411765	2013
1003912189	BUTLER	PA	160011785	455	169.56066935	2013
1003914953	CAPE GIRARDEAU	MO	637034927	358	152.924797355	2013
1003922931	DALLAS	TX	753909189	250	78.0834130435	2013
1003922964	AUSTIN	TX	787316400	30	158.683	2013
