,DRG ,Gross Charge,Derived Negotiated Rate Estimate Min,Derived Negotiated Rate Estimate Max,
Illinois,"003 - ECMO, TRACH MV>96H OR PDX EX FMN MAJ OR","$179,325 ",  ,  ,
Illinois,004 - TRACH MV>96H OR PDX EX F/M/N WO MAJ OR,"$163,819 ",  ,  ,
Illinois,"011 - TRCH FACE,MTH&NECK DX OR LARY W MCC","$119,059 ",  ,  ,
Illinois,"012 - TRCH FACE,MTH&NECK DX OR LARY W CC","$102,994 "," $87,517.00 "," $109,578.00 ",
Illinois,"013 - TRCH FACE,MTH&NECK DX OR LARY W/O CC/MCC","$74,442 ",  ,  ,
Illinois,016 - AUTOLOGOUS BONE MARROW TRANSPL W CC/MCC,"$173,110 "," $85,952.00 "," $155,006.00 ",
Illinois,023 - CRNIO&MJ DV/AC CNS&MCC/CHEMO/EP&NRSTIM,"$127,526 "," $109,862.00 "," $149,142.00 ",
Illinois,025 - CRANIOT & ENDOVASC INTRACRAN PX W MCC,"$119,983 "," $87,249.00 "," $112,180.00 ",
Illinois,026 - CRANIOT & ENDOVASC INTRACRAN PX W CC,"$92,462 "," $56,115.00 "," $72,309.00 ",
Illinois,027 - CRANIOT & ENDOVASC INTRACRAN PX WO CC/MC,"$88,817 "," $61,324.00 "," $83,877.00 ",
Illinois,032 - VENTRICULAR SHUNT PROC W CC,"$61,395 "," $43,879.00 "," $54,714.00 ",
Illinois,033 - VENTRICULAR SHUNT PROC WO CC/MCC,"$53,906 ",  ,  ,
Illinois,038 - EXTRACRANIAL PROC W CC,"$68,341 ",  ,  ,
Illinois,039 - EXTRACRANIAL PROC WO CC/MCC,"$47,665 ",  ,  ,
Illinois,040 - PERIPH&CRAN NERV&NERV SYS PX W MCC,"$146,011 ",  ,  ,
Illinois,041 - PERIPH&CRAN NRV&NRV SYS PX W CC/NEUROSTI,"$76,906 ",  ,  ,
Illinois,054 - NERVOUS SYSTEM NEOPLASMS W MCC,"$58,512 "," $29,733.00 "," $53,002.00 ",
Illinois,056 - DEG NERVOUS SYSTEM DISORDERS W MCC,"$57,597 ",  ,  ,
