Facility_BU_ID,MS-DRG,Description,Min_Negotiated_Rate,Max_Negotiated_Rate
66513,1,Heart Transplant Or Implant Of Heart Assist System With MCC,133063,636356.03
66513,10,Pancreas Transplant,22429.74,79479.69
66513,100,Seizures With MCC,11616.32,41162.38
66513,101,Seizures Without MCC,5499.4,19487.1
66513,102,Headaches With MCC,1734,25302.47
66513,103,Headaches Without MCC,1734,18195.28
66513,11,"Tracheostomy For Face, Mouth And Neck Diagnoses Or Laryngectomy With MCC",31101.68,110208.68
66513,113,Orbital Procedures With CC/MCC,13589.16,48153.13
66513,114,Orbital Procedures Without CC/MCC,8962.1,31757.17
66513,115,Extraocular Procedures Except Orbit,9010.46,31928.53
66513,116,Intraocular Procedures With CC/MCC,11638.64,41241.47
66513,117,Intraocular Procedures Without CC/MCC,6441.18,22824.3
66513,12,"Tracheostomy For Face, Mouth And Neck Diagnoses Or Laryngectomy With CC",23757.78,84185.6
66513,121,Acute Major Eye Infections With CC/MCC,7369.94,26115.35
66513,122,Acute Major Eye Infections Without CC/MCC,3991.56,14144.08
66513,123,Neurological Eye Disorders,4744.86,16813.39
66513,124,Other Disorders Of The Eye With MCC,8672.56,30731.18
66513,125,Other Disorders Of The Eye Without MCC,5179.48,18353.47
66513,13,"Tracheostomy For Face, Mouth And Neck Diagnoses Or Laryngectomy Without CC/MCC",16867.1,59768.5
66513,135,Sinus And Mastoid Procedures With CC/MCC,13271.72,47028.29
66513,136,Sinus And Mastoid Procedures Without CC/MCC,7784.1,27582.93
66513,137,Mouth Procedures With CC/MCC,9105.32,32264.66
66513,138,Mouth Procedures Without CC/MCC,5227.22,18522.63
66513,139,Salivary Gland Procedures,7606.16,26952.4
66513,14,Allogeneic Bone Marrow Transplant,79228.56,280746.08
66513,140,Major Head And Neck Procedures With MCC,24679.72,87452.49
66513,141,Major Head And Neck Procedures With CC,13686.5,48498.06
66513,142,Major Head And Neck Procedures Without CC/MCC,9974.56,35344.81
66513,143,"Other Ear, Nose, Mouth And Throat O.R. Procedures With MCC",18375.56,65113.72
66513,144,"Other Ear, Nose, Mouth And Throat O.R. Procedures With CC",10853.1,38457.92
66513,145,"Other Ear, Nose, Mouth And Throat O.R. Procedures Without CC/MCC",7523.7,26660.2
66513,146,"Ear, Nose, Mouth And Throat Malignancy With MCC",12605.22,44666.55
66513,147,"Ear, Nose, Mouth And Throat Malignancy With CC",8066.82,28584.74
66513,148,"Ear, Nose, Mouth And Throat Malignancy Without CC/MCC",4875.06,17274.76
66513,149,Dysequilibrium,4560.1,16158.7
66513,150,Epistaxis With MCC,8213.14,29103.23
66513,151,Epistaxis Without MCC,4569.4,16191.65
66513,152,Otitis Media And Uri With MCC,6676.78,23659.14
66513,153,Otitis Media And Uri Without MCC,4405.72,15611.65
66513,154,"Other Ear, Nose, Mouth And Throat Diagnoses With MCC",9563.5,33888.22
66513,155,"Other Ear, Nose, Mouth And Throat Diagnoses With CC",5622.16,19922.1
66513,156,"Other Ear, Nose, Mouth And Throat Diagnoses Without CC/MCC",4077.12,14447.26
66513,157,Dental And Oral Diseases With MCC,9748.88,34545.12
66513,158,Dental And Oral Diseases With CC,5512.42,19533.24
66513,159,Dental And Oral Diseases Without CC/MCC,4065.96,14407.71
66513,16,Autologous Bone Marrow Transplant With CC/MCC,41702.44,147772.43
66513,163,Major Chest Procedures With MCC,30749.52,108960.8
66513,164,Major Chest Procedures With CC,16341.96,57907.67
66513,165,Major Chest Procedures Without CC/MCC,11833.32,41931.32
66513,166,Other Respiratory System O.R. Procedures With MCC,23496.14,83258.48
66513,167,Other Respiratory System O.R. Procedures With CC,11538.2,40885.57
66513,168,Other Respiratory System O.R. Procedures Without CC/MCC,8490.28,30085.27
66513,17,Autologous Bone Marrow Transplant Without CC/MCC,29947.24,106117.92
66513,175,Pulmonary Embolism With MCC Or Acute Cor Pulmonale,9574.04,33925.57
66513,176,Pulmonary Embolism Without MCC,5497.54,19480.51
66513,177,Respiratory Infections And Inflammations With MCC,11440.86,40540.64
66513,178,Respiratory Infections And Inflammations With CC,7476.58,26493.23
66513,179,Respiratory Infections And Inflammations Without CC/MCC,5400.82,19137.78
66513,18,Chimeric Antigen Receptor (Car) T-Cell Immunotherapy,231439.8,820106
66513,180,Respiratory Neoplasms With MCC,10774.36,38178.9
66513,181,Respiratory Neoplasms With CC,6949.58,24625.81
66513,182,Respiratory Neoplasms Without CC/MCC,4882.5,17301.12
66513,183,Major Chest Trauma With MCC,9644.72,34176.03
